id,title,description,start_date,language
51146,Project ID 51146,HYDRO-WASTE: Hydroponic Systems for Water Treatment and Sustainable Nutrient Recovery,2027-05-03,English
51147,Project ID 51147,CLEAN-CARB: Carbon-Based Solutions for Efficient Nutrient Management in Wastewater,2027-05-03,English
51148,Project ID 51148,QUICK-PATH: Quaternary Innovative Control of Pathogens and Micropollutants in Wastewater,2027-05-03,English
51149,Project ID 51149,La pratique du jardinage alimentaire domestique des personnes immigrantes de la ville de Moncton : objectifs et potentiel d’intégration,2027-05-03,French
51150,Project ID 51150,AI-Enabled Edge Microwave Sensor for Harsh Environment Applications,2027-05-03,English
51151,Project ID 51151,Applied Economics Using Big Data and LLMs,2027-05-03,English
51152,Project ID 51152,"Mapping Disasters, Displacement and Development to build Community Resilient Futures",2027-05-03,English
51154,Project ID 51154,Predicting the energy performance and energy use of urban buildings in Vancouver,2027-05-03,English
51155,Project ID 51155,Use of Non-destructive evaluation techniques for Civil infrastructure,2027-05-03,English
51156,Project ID 51156,Insurgent Feminism: Community History-Making and Sex Worker Activism in the Global South,2027-06-01,English
