id,title,description,start_date,language
51224,Merging nanoscience and microfuidics to develop novel therapies,"This project is using state-of-the-art nanotechnologies and microfluidic lab-on-a-chip models for designing and evaluating nanoparticles (engineered particles on the nanometer scale). The use of nanoparticles in drug delivery offers several advantages, such as site-specific drug targeting, minimal side-effects, prolonged drug release, and improved drug stability and bioavailability. Two summer research positions are available in the Labouta Lab for students with a background in biomedical engineering, pharmacy, chemistry, biology, biochemistry or a related field. The first student will be trained on nanoparticle design and in vitro evaluation. A prior experience in cell culture techniques is advantageous but not mandatory. The second position is available for a student experienced in COMSOL, MATLAB or other software enabling simulation of nanoparticle flow in microfluidic channels, and designing microfluidic chips.",2027-05-03,English
51225,Preparing Novel Quantum Nanomaterials,"This project will focus on a development of synthetic methods around materials that are more environmentally friendly and sustainable than many of the other materials currently being pursued. In addition, this project includes an array of characterization techniques to validate the products being formed and to assess the success of each reaction. These techniques may include electron microscopy, elemental analysis, X-ray diffraction, X-ray fluorescence spectroscopy, infrared spectroscopy, and Raman spectroscopy, as well as photoluminescence lifetime measurements.",2027-05-03,English
51227,Social network analysis and mining (2027),"This Globalink 2027 research project focuses on social network computing and mining. Over the past few years, the rapid growth and the exponential use of social digital media has led to an increase in popularity of social networks and social computing. In general, social networks are structures made of social entities (e.g., individual users) that are linked by some specific types of inter-dependency relationship such as friendship. The emergence of Web-based communities and hosted services such as social networking sites (e.g., Facebook, Instagram, LinkedIn, Weibo, X) has facilitated collaboration and knowledge sharing between users. Most users of social media have many linkages in terms of friends, connections, and/or followers. Among all these linkages, some of them are more important than others. For instance, some friends of a user may be acquaintances, whereas some others may be close friends that care about him in such a way that they frequently post on his wall, view his updated profile, send him messages, invite him for events, and/or follow his tweets. In this project, students will apply the knowledge and skills they acquired in their undergraduate database courses to build a database for capturing relevant data from a social network. They will then develop a data science, data analytics, socio-economic analysis, business analytics, business intelligence (BI), and/or human-centered data-driven artificial intelligence (AI) solution that applies data mining or artificial intelligence (AI) techniques to social networks so as to help users of the social digital media to discover implicit, previously unknown, and useful knowledge from the social networks.",2027-06-28,English
51228,Data visualization and visual analytics (2027),"This Globalink 2027 research project focuses on visual analytics. Due to advances in technology, high volumes of valuable data are generated at a high velocity in various real-life business applications in modern organizations and society. This leads to huge amounts of data. Embedded in these data are implicit, previously unknown and potentially useful knowledge and interesting information. Consequently, it is important to apply knowledge discovery techniques to mine these data and understand the mining results (e.g., get an insight about the distribution of the data as well as that of the mined interesting patterns). As ""a picture is worth a thousand words"", visual representation of data and the mining results is more comprehensible to users than the traditional long textual list representation. In this project, students will apply the knowledge and skills they acquired in their undergraduate database courses to build a database for capturing relevant data and/or the mining results. They will then develop a visualizer and/or visual analytics solution that applies data mining or artificial intelligence (AI) techniques to data so as to help users to visualize and analyze the raw data, as well as to understand the mining results (i.e., discovered knowledge).",2027-07-12,English
51229,Big data science and data analytics for useful information (2027),"This Globalink 2027 research project focuses on Big data analytics. Due to advances in technology, high volumes of valuable data are generated in various real-life business applications in modern organizations and society. This leads us into the new era of Big Data. In general, Big data are interesting high-velocity, high-value, and/or high-variety data with volumes beyond the ability of commonly-used software to capture, manage, and process within a tolerable elapsed time. Hence, new forms of processing data are needed to enable knowledge discovery. Having developed systematic or quantitative processes to mine and analyze Big data allows us to continuously explore, investigate, and understand the past business performance so as to gain new insight and drive business planning. Over the past few years, several algorithms have been proposed to use the MapReduce/Spark/Flink models (which mine the search space with distributed, parallel, cloud, or fog/edge computing) for different Big data mining and analytics tasks. In this project, students will apply the knowledge and skills they acquired in their undergraduate database courses to build a database for capturing relevant information from Big data. They will then develop a data science, data analytics, business analytics, business intelligence (BI), and/or human-centered data-driven artificial intelligence (AI) solution that applies knowledge discovery and data mining techniques to Big data so as to analyze and discover implicit, previously unknown, and useful knowledge (e.g., frequently co-located events and/or frequent purchased bundles of merchandise items) from Big data.",2027-07-26,English
51250,Smart bioinspired nanoparticles for crossing biological barriers,"Despite the growing attempts to develop numerous nanoparticles for medical applications, limited impact was witnessed at the clinical level. This is due to the inconsistent behavior of developed nanoparticles once they are administered inside the body. This behavior is closely related to the change in surface properties of nanoparticles on their interaction with biological compounds found in the body such as proteins present in the blood. This would possibly result in a complete change of their engineered properties previously optimized on the bench. Several research groups are working to analyze the chemical components deposited on the surface of the nanoparticles once injected in the body. Yet, there is an inability to define the attributes and behaviours of these nanocomposites (nanoparticles with adsorbed plasma proteins) within the different biological environments. Understanding the behavior of these nanocomposites throughout their journey inside the body is the bottle-neck for future development of new generation of nanoparticles that can efficiently deliver drugs and diagnostic molecules to target sites of the body.",2027-05-03,English
51251,Polymers for biomedical applications,"The project involves the synthesis and characterization of a wide range of custom made polymers and hydrogels mainly for applications in the biomedical fields. More specifically, we are interested in the development of new materials for (1) therapeutics nano-delivery systems, (2) for tissue engineering and (3) for cryopreservation of cells. Experience in chemistry, chemical engineering, polymer science and engineering or biomaterials is an asset.",2027-05-03,English
51271,Fabrication of photonic band gap microfibres via dry spinning,This project represents a new research avenue for my group. We are interested in understanding the extensional flow behaviour of polymer/colloids solutions. The long-term goal is to produce meter long microfibres with photonic-band gap properties for applications in optics and photonics.,2027-06-01,English
51278,A model of collagen fibril ageing and biomineralization,In this project we are developing an in vitro model to study the interplay of mineralization and aging at the single fibril level. We use self-assembled collagen fibrils and either age them using incubation in ribose (glycation) or mineralize them using the PILP process (Polymer Induced Liquid Precursor). We now want to understand the interplay between these two processes and study their impact on collagen molecular structure and collagen fibril mechanical properties. To do that we will combine second harmonic generation imaging which is sensitive to collagen molecular structure with atomic force microscopy based nano-indentation experiments.,2027-06-01,English
51282,Soft Nanoparticles for Biomedical Applications: A Versatile Platform in Nanomedicine,"Efficient nanoformulations should be able to specifically accumulate at the desired disease sites and regulate the delivery of their therapeutic cargo by adjusting to the local biological environment. We have embarked on developing such an optimized drug delivery platform that could sense multifold aberrations in the physiological environment of disease sites and respond synchronously, for sustained drug delivery, controlled nanoparticle morphological transformations, and safe clearance. Our goals relate to simplifying the formulation design strategy and remove complexities of synthetic build-up of macromolecular precursors; impart multiple sensitivities to nanoparticles through novel functional group(s); and help expedite clinical interventions of therapeutics. This is achieved through a multidisciplinary collaborative effort with pooled expertise in macromolecular chemistry, pharmacology, physiology and medicine. We shall design miktoarm polymer-based macromolecules using synthetic tools developed in our laboratory. The branched architecture will be structurally articulated with biocompatible and biodegradable polymeric arms of varied compositions, imparted with multi-stimuli-responsive chemical functional group at defined spatial locations. Nanoformulations of micelle and vesicle morphologies will be articulated through efficient aqueous self-assembly methods. Upon complete structural characterization using state-of-the-art techniques, these assemblies will be loaded with active pharmaceutical agents. It will be followed by a detailed analysis of the kinetics of cargo release with/without triggering stimuli-response. A detailed evaluation of controlled delivery with variables at targeted localities, while limiting or eliminating side effects, will significantly enhance the efficacy of nanoformulations. Subsequently, we will work with colleagues in pharmacology and medicine to explore their potential in therapeutic interventions. The research will help students build expertise in macromolecular chemistry, polymer self-assembly, and in exploring biological applications of nanocarriers in theranostics.",2027-05-03,English
