id,title,description,start_date,language
51224,Merging nanoscience and microfuidics to develop novel therapies,"This project is using state-of-the-art nanotechnologies and microfluidic lab-on-a-chip models for designing and evaluating nanoparticles (engineered particles on the nanometer scale). The use of nanoparticles in drug delivery offers several advantages, such as site-specific drug targeting, minimal side-effects, prolonged drug release, and improved drug stability and bioavailability. Two summer research positions are available in the Labouta Lab for students with a background in biomedical engineering, pharmacy, chemistry, biology, biochemistry or a related field. The first student will be trained on nanoparticle design and in vitro evaluation. A prior experience in cell culture techniques is advantageous but not mandatory. The second position is available for a student experienced in COMSOL, MATLAB or other software enabling simulation of nanoparticle flow in microfluidic channels, and designing microfluidic chips.",2027-05-03,English
51288,Heat-Driven Micro Pump for Next-Generation Electronic Cooling,"This project aims to develop a novel heat-driven microfluidic pump for cooling high heat flux electronic devices. As modern processors used in artificial intelligence, data centers, and high-performance computing generate increasing heat loads, conventional cooling approaches face significant limitations in efficiency, scalability, and energy consumption. The proposed approach leverages a Self-Oscillating Fluidic Heat Engine (SOFHE) coupled with a micro jet pump to enable fluid circulation driven directly by heat. Unlike conventional pumps, this system requires no moving parts or external electrical input. Instead, phase-change-induced oscillations generate pressure fluctuations that drive flow through a jet pump, creating a compact and self-regulated cooling solution. The project will focus on evaluating the feasibility of this concept for chip cooling applications, where target flow rates are on the order of 10–100 mL/min. Experimental characterization will be conducted to quantify flow rate, pressure head, and thermal performance under different operating conditions. In parallel, design optimization will explore the role of geometry, fluid properties, and heat input on system efficiency. The expected outcome is a proof-of-concept demonstration of a fully heat-driven cooling loop, capable of adapting its performance to thermal load without active control. This approach represents a new paradigm in thermal management—using waste heat as the driving force for cooling—potentially reducing energy consumption and system complexity in next-generation electronic systems.",2027-05-03,Either
51295,Capillary Microfluidic Circuits with Integrated Cartridges for Autonomous Lab-on-a-Chip Diagnostics,"This project aims to develop capillary microfluidic circuits integrated with reagent storage cartridges for diagnostic and environmental monitoring applications. Conventional lab-on-a-chip technologies often rely on external equipment such as pumps and controllers, limiting portability and field deployment. The proposed approach uses capillary-driven flow to control fluid movement without external energy input. By designing channel geometries and integrating capillary valves, it is possible to program fluid sequencing and automate multi-step assays such as ELISA. A central focus of the project is the development of an integrated cartridge capable of storing multiple reagents and delivering them in a controlled and sequential manner. The cartridge must ensure reagent stability, prevent cross-contamination, and enable reliable release during operation. The work will include the design of capillary circuits and cartridges, fabrication using 3D printing techniques, and experimental validation of device performance using confocal microscopy. Key metrics include concentration uniformity, fluid sequencing, timing control, reproducibility, and reliability. The expected outcome is a fully autonomous lab-on-a-chip system capable of performing complex biochemical analyses without external instrumentation. This technology has strong potential for point-of-care diagnostics, environmental monitoring, and rapid on-site testing, contributing to more accessible and decentralized healthcare solutions.",2027-05-03,Either
51325,Microcirculation,"You'll get to work with some really smart graduate students on some cool projects. One project is all about how changes in the shape, rigidity, or age of red blood cells affect how they move through tiny blood vessels. We want to understand how these changes impact our health. Another project is focused on how red blood cells interact with each other and affect how thick or thin the blood is in specific areas. This is important because it can impact how well oxygen and nutrients are delivered throughout the organs. And finally, we're exploring how red blood cells flow through different types of networks in the body. This kind of research can help us understand how blood moves through our bodies and how we can design better treatments for diseases that affect circulation. Keywords: Fluid mechanics, biomedical engineering, microcirculation, blood rheology, microfluidics, disease pathophysiology, medical treatments.",2027-05-02,Either
51344,Heat-Driven Energy Harvesting Using a Self-Oscillating Fluidic Heat Engine (SOFHE),"This project aims to develop and optimize a thermal energy harvester based on a self-oscillating fluidic heat engine (SOFHE). SOFHE is a two-phase microfluidic system in which heating induces vapor bubble formation and growth, leading to self-sustained oscillations of a liquid–vapor interface. These oscillations generate pressure fluctuations that can be converted into usable electrical energy through an electromechanical transducer. The project will focus on understanding and enhancing the energy conversion mechanisms governing SOFHE performance. Key objectives include identifying the parameters controlling oscillation stability, frequency, and amplitude, and finding a compatible electro-mechanical transducer for SOFHE. A particular emphasis will be placed on coupling the fluidic system to the transducer to evaluate the power density. The goal is to demonstrate a compact, heat-driven energy harvester capable of generating sufficient power for low-energy applications such as wireless sensors in IoT systems. This work contributes to the development of self-powered microsystems and sustainable alternatives to battery-dependent devices.",2027-05-03,Either
51590,Experimental Investigation of Microfluidics Devices,"This project focuses on the development and optical characterization of microfluidic devices for controlled fluid manipulation and flow analysis at the microscale. The interns will collaboratively or independently work on designing, fabricating, and testing microfluidic platforms with integrated flow control components. The project will involve 3D design modeling of microfluidic geometries using CAD software, enabling rapid prototyping and iterative development of device layouts. A key aspect of the research involves implementing measurement techniques such as particle image velocimetry (PIV), or flow visualization to quantify flow behavior within microchannels. If imaging involves, high-resolution imaging systems will be used to capture real-time flow data, which will be processed and analyzed using custom scripts developed in MATLAB. Digital microfluidics may be used in some applications. Interns will gain hands-on experience in microfabrication techniques using additive manufacturing, optical system setup, and image-based flow diagnostics. They will also be responsible for writing MATLAB code for data acquisition, image analysis, and quantitative evaluation of flow dynamics. The integration of 3D modeling, experimental techniques, and programming will provide a comprehensive learning experience in both engineering design and scientific research. This project aims to produce functional microfluidic prototypes with validated flow performance and detailed flow field data, supporting broader applications in microscale fluid dynamics research.",2027-06-01,English
51842,Biomedical Lab Hack: Designing Low‑Cost Open‑Source Scientific Tools for Biomedical Research,"What if you could build real biomedical lab equipment yourself—with a 3D printer, a handful of electronic components, and a good idea? In this project, we invite curious, hands‑on students to join us, where creativity meets science. Instead of buying expensive, black‑box laboratory instruments, you will help design, build, and test low‑cost, open‑source scientific tools for biomedical research. Using 3D printing, Arduino‑style electronics, and clever engineering, you’ll work on practical tools that researchers actually need—tools that are affordable, customizable, and accessible to labs around the world.",2027-05-02,Either
51891,3D Printing of Liquid Metal-based 3D Microfluidics using UV Curable Resin for Flexible Microelectronics Applications,"While flexible electronics are more common in literature, there is only a handful of work on stretchable electronics applications. Most of these stretchable electronics make use of spiral microwires, horseshoes like forms of thin metal foils, or sintered metallic inks on stretchable substrates. Having solid conductive components these devices ultimately show a degree of rigidity that limits their performance and exhibit limited stretchability. Recently, liquid metals (LMs) have emerged as smart materials for electronics applications because of their extreme stretchability, flexibility, and self-healing ability. Unlike mercury (Hg), the non-toxic eutectic alloy of gallium and indium (EGaIn) has attracted substantial interest because of its superior conductivity with virtually no vapor pressure, low viscosity, and compatibility in microchannels due to instantly formed oxide skin. The EGaIn-based complex devices exhibiting enhanced performance is still a future. This would require a marriage between 3D printing and microfluidics. Microfluidics-based 2D planar electronics are typically fabricated using conventional expensive manual operations such as soft lithography. The ability to print true 3D microfluidics has not yet been achieved. Dr. Khondoker has recently developed a 3D printing system that can be used to print EGaIn-based 3D electronics where 0.5 mm LM core is insulated in a 2-mm thermoplastic elastomer shell in a single process. While the system addresses the engineering challenges of this innovative technique, it still needs to further modify to be able to print high-resolution (>50 μm) microfluidic devices. Besides, to realize the thermomechanical stability of the printed devices, a 3D printing system compatible with thermosetting ultraviolet (UV) curable resins is highly desired. Therefore, the project proposes to develop a 3D printing system that can be used to print EGaIn/UV curable resin-based 3D microfluidics devices for stretchable/flexible electronics, sensor/actuator applications with extreme stretchability (> 400%), and flexibility without electrical and mechanical losses.",2027-05-03,English
52846,Wearable Electrochemical Platform for Continuous Hormone Monitoring,"Continuous hormone monitoring holds transformative potential for personalized health management, fertility tracking, stress assessment, and chronic disease management. Traditional hormone analysis relies on centralized laboratory testing using immunoassays or mass spectrometry, which are time-consuming, costly, and require trained personnel. This project aims to develop a non-invasive or minimally invasive wearable electrochemical biosensor platform capable of real-time, continuous monitoring of key hormones, including cortisol, estradiol, and progesterone, directly from biofluids such as sweat, interstitial fluid, or saliva. The platform will integrate microfluidic sample handling, affinity-based biorecognition elements (aptamers or antibodies), and signal transduction layers into a flexible, skin-conformal device compatible with wireless readout electronics. This research sits at the intersection of materials science, electrochemistry, and biomedical engineering.",2027-05-03,English
53254,Design and validation of a smart microfluidic system,"This research project aims to design, integrate, and validate a modular smart microfluidic system. The system comprises five critical subsystems: a pressure pump, a camera-based feedback loop, the microfluidic chip, a central controller, and the integration software. The specific research focus will be tailored to align with the intern’s academic background and research interests, while also reflecting the project's current status and immediate needs upon their arrival. This ensures a meaningful and impactful contribution to our ongoing work, as the intern will engage in the full lifecycle of designing, implementing, and validating one of these subsystems. For instance, the camera-based feedback loop is utilized to measure droplet size and velocity, requiring a workflow that spans image acquisition, AI-driven processing, and measurement communication. Validation against experimental data will be essential to quantify performance metrics such as frequency and accuracy. Similarly, the pressure pump subsystem offers the advantages of fast response times and contamination avoidance but is currently limited by accessibility and flexibility constraints. Consequently, the project requires the seamless integration of hardware, software, and pneumatic components to meet key performance indicators (KPIs) including settling time and control accuracy.",2027-05-10,Either
53257,Acoustic microrobots,"Acoustic microrobots are untethered microscale devices that can be propelled and steered through liquid environments using ultrasonic waves, without any physical connection to an external power source. They hold considerable promise for biomedical applications such as targeted drug delivery, minimally invasive sensing, and the manipulation of biological cells. However, realizing their full potential requires a deep understanding of the underlying physical mechanisms that govern their actuation for closed-loop control. This project focuses on the fundamental physical characterization of acoustic microrobots. A doctoral student in our group is actively developing both experimental and numerical tools to probe and model these mechanisms. The intern will contribute to this ongoing effort by assisting in the development and validation of numerical simulations — primarily using COMSOL — that reproduce the acoustic force experienced by microrobots of varying geometries. These simulations will be compared against existing experimental data and analytical predictions from the literature to assess their accuracy and predictive capability. Should the experimental platform be operational during the internship, the student may also assist in hands-on characterization experiments. The project sits at the intersection of fundamental physics, fluid mechanics, and emerging microrobotics, offering the intern a rich multidisciplinary training environment. This work will directly inform the design of next-generation acoustic microrobots and contribute to the broader scientific understanding of acoustic manipulation at the microscale.",2027-05-10,Either
53408,Development of portable Raman spectroscopy-based detection system for microplastics identification and recognition,"Even though society has been aware of microplastic accumulation since 2004, the generation of plastic waste has only continued to increase, now at over 350 million tonnes annually. As a result, microplastics have been detected in many environments, including the human body. Due to their prevalence in aquatic ecosystems and the fact that we know little of their effects on all forms of life, our goal is to efficiently detect and characterize microplastics from water samples in real-time. Current detection and characterization methods rely on techniques such as ultrafiltration, high-resolution microscopy, and lab-based spectroscopy, which are time-consuming and often require both expensive equipment and skilled technicians. We propose the use of a portable Raman spectroscopy-based system that is specifically tuned for the detection of microplastics in aqueous samples. The goal of this research project is to design and build a miniaturized portable Raman spectroscopy-based detection system compatible with aqueous samples. It will involve testing with simulated water samples made in-lab with polystyrene beads as well as samples from various local water sources. Ideally, the Raman-based detector is further optimized with machine learning or artificially intelligent techniques to automatically detect and predict the type of plastic and its concentration within the sample while ignoring other non-plastic particulates.",2027-05-03,English
53680,"Monodisperse, size tunable Au nanoparticles as functionalized surfaces for biosensors","In this project, students will utilize novel nanoparticle patterning and surface functionalization methods to increase the density of biorecognition elements and provide enhanced exposure of active sites for protein binding. The research project will target measurements of the thyroid function, utilizing nanoparticle approaches to detect thyroxine, specifically T3, T4, TSH and related antibodies. Incorporation into a biosensing platform will open up many new opportunities with revolutionized accessibility, as it paves the way for portable, point-of care sensors, particularly useful for Canadians with vulnerable immune systems, mobility issues, or those residing in remote locations. Tunable Au nanoparticles will be produced using the reverse micelle method. As both nanoparticle size and spacing are critical to achieving specific binding, the student will optimize the size, particle separation and 2D order of the nanoparticles for enhanced binding of proteins on the surface. They will produce particles ranging from 3nm to 70nm, by modifying deposition methods, molecular weight, and solvent. These nanoparticles will be applied directly to gold (Au) plated silicon and glass substrates for direct use, and to polydimethylsiloxane (PDMS) surfaces for integration with microfluidics. The initial use of Au allows conjugation with thiol functionalized species such as self-assembled monolayers (SAMs) and provides an optimal material for various surface characterization techniques.",2027-05-10,English
53719,3D printed smart materials,"One area of particular interest is using microfluidics to manipulate liquid metals rather than gases or water so that stretchable and flexible electronics can be produced. We can currently extrude liquid metals inside of rubber tubes and then the goal will be to create preforms and thermally draw down the electronics to smaller sizes in a controllable fashion. Experiments to optimize this thermal drawing are necessary to balance temperatures, viscosity of polymers, surface tension of metals in molten form or close to melt temperatures and draw down ratios will be needed. The ultimate goal is to create smart fabrics with sensing and actuation capabilities.",2027-05-03,English
54030,Optical trapping of active colloids,"Active colloids are microscopic particles capable of self-propulsion by converting energy from their environment into motion. These systems serve as model platforms for studying non-equilibrium phenomena and have emerging applications in targeted transport, sensing, and microscale robotics. The proposed project will investigate the behavior of active colloids under confinement and external forcing using optical trapping techniques. The student will employ laser-based optical tweezers to trap, manipulate, and organize active colloidal particles while characterizing their individual and collective dynamics. Experimental studies will examine how propulsion, particle interactions, and optical forces influence motion, self-assembly, and transport processes. Advanced microscopy and image analysis tools will be used to quantify particle trajectories and extract key physical parameters. This interdisciplinary project combines concepts from soft matter physics, chemical engineering, optics, and microfluidics. The research will provide fundamental insights into the control of active matter systems and contribute to the development of programmable microscale materials and devices. The student will gain hands-on experience in experimental design, optical instrumentation, data analysis, and scientific communication within a collaborative international research environment.",2027-05-03,English
54425,Cell biology of the bacterial cell wall,"A major goal of our lab is to understand how cell-wall insertion and ell-wall growth (spatial expansion) are coordinated, and how they lead to stable cell shape. This project will tackle this question experimentally, with live-cell fluorescence microscopy, combined with genetic and chemical perturbations, to study the role of enzymes synthesizing, cutting, or remodeling the peptidoglycan cell wall. We aim to study where in the cell these processes happen, whether they happen at the same location, at the same time, whether they are localized to common signals or whether one of the two processes attracts the respective other. We are using fluorescent proteins to label enzymes and cytoskeletal proteins involved in cell wall insertion, and we study the location of cell-wall growth/expansion by using fluorescent dyes that are bound to the peptidoglycan cell wall.",2027-05-03,English
54576,Exploration of adjuvanted lipid nanoparticles for pulmonary delivery of subunit vaccines,"Subunit vaccines that are based on recombinantly produced and highly purified antigens from pathogens represent one of the safest approaches to induce protective immunity at mucosal sites such as lungs. However, subunit vaccines are poorly immunogenic and require adjuvants. Adjuvants are compounds that used to maximize the potency of vaccines by enhancing antigen-specific immune responses. Components of adjuvants include pathogen-associated molecular patterns (PAMPs) that are agonists of pathogen recognition receptors (PRRs). Innate immune responses are activated when PRRs recognize PAMPs derived from invading pathogens. Most vaccine formulations contain adjuvants based on aluminum compounds and oil emulsions, which have some drawbacks. Moreover, these adjuvants are not suitable for mucosal delivery of vaccines. We aim to create novel safe and effective mucosal adjuvants that are based on nanoparticles loaded with PRR agonists. We hypothesize that incorporating agonists of PRRs in pulmonary biomimetic nanoparticles will allow us to generate novel adjuvants that can induce robust immune responses in the lungs. We will use microfluidics manufacturing to load PRR agonist in nanoparticles and will characterize their physicochemical properties. We will test the activation of dendritic cells and PRR reporter cells by the adjuvant formulations.",2027-05-03,English
